xi	yi	xo	yo
-128	-128	  53	  28	
-128	-127	  52	  28	
-128	-126	  51	  29	
-128	-125	  50	  30	
-128	-124	  49	  31	
-128	-123	  48	  31	
-128	-122	  47	  32	
-128	-121	  46	  33	
-128	-120	  46	  34	
-128	-119	  45	  34	
-128	-118	  44	  35	
-128	-117	  43	  36	
-128	-116	  42	  37	
-128	-115	  41	  37	
-128	-114	  40	  38	
-128	-113	  39	  39	
-128	-112	  39	  40	
-128	-111	  38	  40	
-128	-110	  37	  41	
-128	-109	  36	  42	
-128	-108	  35	  43	
-128	-107	  34	  43	
-128	-106	  33	  44	
-128	-105	  32	  45	
-128	-104	  32	  46	
-128	-103	  31	  46	
-128	-102	  30	  47	
-128	-101	  29	  48	
-128	-100	  28	  49	
-128	 -99	  27	  49	
-128	 -98	  26	  50	
-128	 -97	  25	  51	
-128	 -96	  25	  52	
-128	 -95	  24	  52	
-128	 -94	  23	  53	
-128	 -93	  22	  54	
-128	 -92	  21	  55	
-128	 -91	  20	  55	
-128	 -90	  19	  56	
-128	 -89	  18	  57	
-128	 -88	  18	  58	
-128	 -87	  17	  58	
-128	 -86	  16	  59	
-128	 -85	  15	  60	
-128	 -84	  14	  61	
-128	 -83	  13	  61	
-128	 -82	  12	  62	
-128	 -81	  11	  63	
-128	 -80	  11	  64	
-128	 -79	  10	  64	
-128	 -78	   9	  65	
-128	 -77	   8	  66	
-128	 -76	   7	  67	
-128	 -75	   6	  67	
-128	 -74	   5	  68	
-128	 -73	   4	  69	
-128	 -72	   4	  70	
-128	 -71	   3	  70	
-128	 -70	   2	  71	
-128	 -69	   1	  72	
-128	 -68	   0	  73	
-128	 -67	  -1	  73	
-128	 -66	  -2	  74	
-128	 -65	  -3	  75	
-128	 -64	  -3	  76	
-128	 -63	  -4	  76	
-128	 -62	  -5	  77	
-128	 -61	  -6	  78	
-128	 -60	  -7	  79	
-128	 -59	  -8	  79	
-128	 -58	  -9	  80	
-128	 -57	 -10	  81	
-128	 -56	 -10	  82	
-128	 -55	 -11	  82	
-128	 -54	 -12	  83	
-128	 -53	 -13	  84	
-128	 -52	 -14	  85	
-128	 -51	 -15	  85	
-128	 -50	 -16	  86	
-128	 -49	 -17	  87	
-128	 -48	 -17	  88	
-128	 -47	 -18	  88	
-128	 -46	 -19	  89	
-128	 -45	 -20	  90	
-128	 -44	 -21	  91	
-128	 -43	 -22	  91	
-128	 -42	 -23	  92	
-128	 -41	 -24	  93	
-128	 -40	 -24	  94	
-128	 -39	 -25	  94	
-128	 -38	 -26	  95	
-128	 -37	 -27	  96	
-128	 -36	 -28	  97	
-128	 -35	 -29	  97	
-128	 -34	 -30	  98	
-128	 -33	 -31	  99	
-128	 -32	 -31	 100	
-128	 -31	 -32	 100	
-128	 -30	 -33	 101	
-128	 -29	 -34	 102	
-128	 -28	 -35	 103	
-128	 -27	 -36	 103	
-128	 -26	 -37	 104	
